Years,Percent_Represented,Union,STUSPS,State
2000,8.7,Represented by unions,FL, Florida
2001,8.4,Represented by unions,FL, Florida
2002,7.5,Represented by unions,FL, Florida
2003,8.4,Represented by unions,FL, Florida
2004,7.7,Represented by unions,FL, Florida
2005,7.2,Represented by unions,FL, Florida
2006,6.5,Represented by unions,FL, Florida
2007,7.3,Represented by unions,FL, Florida
2008,7.9,Represented by unions,FL, Florida
2009,6.9,Represented by unions,FL, Florida
2010,6.9,Represented by unions,FL, Florida
2011,7.6,Represented by unions,FL, Florida
2012,7.3,Represented by unions,FL, Florida
2013,6.9,Represented by unions,FL, Florida
2014,7,Represented by unions,FL, Florida
2015,8.4,Represented by unions,FL, Florida
2016,7.1,Represented by unions,FL, Florida
