Years,Percent_Represented,Union,STUSPS,State
2000,7.5,Represented by unions,GA, Georgia
2001,8.1,Represented by unions,GA, Georgia
2002,7,Represented by unions,GA, Georgia
2003,8,Represented by unions,GA, Georgia
2004,7.5,Represented by unions,GA, Georgia
2005,6,Represented by unions,GA, Georgia
2006,5.8,Represented by unions,GA, Georgia
2007,5.4,Represented by unions,GA, Georgia
2008,4.6,Represented by unions,GA, Georgia
2009,5.9,Represented by unions,GA, Georgia
2010,5,Represented by unions,GA, Georgia
2011,4.8,Represented by unions,GA, Georgia
2012,5.4,Represented by unions,GA, Georgia
2013,6.3,Represented by unions,GA, Georgia
2014,4.9,Represented by unions,GA, Georgia
2015,5.1,Represented by unions,GA, Georgia
2016,4.9,Represented by unions,GA, Georgia
