Years,Percent_Represented,Union,STUSPS,State
2000,26,Represented by unions,HI, Hawaii
2001,25,Represented by unions,HI, Hawaii
2002,25.3,Represented by unions,HI, Hawaii
2003,24.8,Represented by unions,HI, Hawaii
2004,24.8,Represented by unions,HI, Hawaii
2005,26.7,Represented by unions,HI, Hawaii
2006,25.9,Represented by unions,HI, Hawaii
2007,24.2,Represented by unions,HI, Hawaii
2008,25.5,Represented by unions,HI, Hawaii
2009,24.3,Represented by unions,HI, Hawaii
2010,23.5,Represented by unions,HI, Hawaii
2011,22.5,Represented by unions,HI, Hawaii
2012,23.2,Represented by unions,HI, Hawaii
2013,23.6,Represented by unions,HI, Hawaii
2014,22.9,Represented by unions,HI, Hawaii
2015,21.7,Represented by unions,HI, Hawaii
2016,20.9,Represented by unions,HI, Hawaii
