Years,Percent_Represented,Union,STUSPS,State
2000,15.7,Represented by unions,IA, Iowa
2001,15.4,Represented by unions,IA, Iowa
2002,13.7,Represented by unions,IA, Iowa
2003,14.4,Represented by unions,IA, Iowa
2004,12.7,Represented by unions,IA, Iowa
2005,13.5,Represented by unions,IA, Iowa
2006,14,Represented by unions,IA, Iowa
2007,13.1,Represented by unions,IA, Iowa
2008,13,Represented by unions,IA, Iowa
2009,13.3,Represented by unions,IA, Iowa
2010,13.8,Represented by unions,IA, Iowa
2011,13.5,Represented by unions,IA, Iowa
2012,12.4,Represented by unions,IA, Iowa
2013,12,Represented by unions,IA, Iowa
2014,12.6,Represented by unions,IA, Iowa
2015,12.2,Represented by unions,IA, Iowa
2016,10.5,Represented by unions,IA, Iowa
