Years,Percent_Represented,Union,STUSPS,State
2000,9.3,Represented by unions,ID, Idaho
2001,8.6,Represented by unions,ID, Idaho
2002,8.7,Represented by unions,ID, Idaho
2003,8.6,Represented by unions,ID, Idaho
2004,7.9,Represented by unions,ID, Idaho
2005,6.3,Represented by unions,ID, Idaho
2006,7.2,Represented by unions,ID, Idaho
2007,6.4,Represented by unions,ID, Idaho
2008,8,Represented by unions,ID, Idaho
2009,7.9,Represented by unions,ID, Idaho
2010,8.6,Represented by unions,ID, Idaho
2011,6.1,Represented by unions,ID, Idaho
2012,5.8,Represented by unions,ID, Idaho
2013,5.8,Represented by unions,ID, Idaho
2014,6.7,Represented by unions,ID, Idaho
2015,7.3,Represented by unions,ID, Idaho
2016,6.8,Represented by unions,ID, Idaho
