Years,Percent_Represented,Union,STUSPS,State
2000,19.3,Represented by unions,IL, Illinois
2001,19.3,Represented by unions,IL, Illinois
2002,20.6,Represented by unions,IL, Illinois
2003,18.6,Represented by unions,IL, Illinois
2004,17.9,Represented by unions,IL, Illinois
2005,17.6,Represented by unions,IL, Illinois
2006,17.2,Represented by unions,IL, Illinois
2007,15.2,Represented by unions,IL, Illinois
2008,17.5,Represented by unions,IL, Illinois
2009,18.3,Represented by unions,IL, Illinois
2010,16.4,Represented by unions,IL, Illinois
2011,17.2,Represented by unions,IL, Illinois
2012,15.5,Represented by unions,IL, Illinois
2013,16.3,Represented by unions,IL, Illinois
2014,16,Represented by unions,IL, Illinois
2015,16,Represented by unions,IL, Illinois
2016,15.3,Represented by unions,IL, Illinois
