Years,Percent_Represented,Union,STUSPS,State
2000,17,Represented by unions,IN, Indiana
2001,15.5,Represented by unions,IN, Indiana
2002,14.5,Represented by unions,IN, Indiana
2003,12.7,Represented by unions,IN, Indiana
2004,12.4,Represented by unions,IN, Indiana
2005,13.2,Represented by unions,IN, Indiana
2006,13,Represented by unions,IN, Indiana
2007,12.9,Represented by unions,IN, Indiana
2008,13.7,Represented by unions,IN, Indiana
2009,12.2,Represented by unions,IN, Indiana
2010,12.2,Represented by unions,IN, Indiana
2011,12.4,Represented by unions,IN, Indiana
2012,10,Represented by unions,IN, Indiana
2013,10.3,Represented by unions,IN, Indiana
2014,12,Represented by unions,IN, Indiana
2015,11.3,Represented by unions,IN, Indiana
2016,11.4,Represented by unions,IN, Indiana
