Years,Percent_Represented,Union,STUSPS,State
2000,11.2,Represented by unions,KS, Kansas
2001,11.3,Represented by unions,KS, Kansas
2002,9.9,Represented by unions,KS, Kansas
2003,10.3,Represented by unions,KS, Kansas
2004,10.8,Represented by unions,KS, Kansas
2005,9.5,Represented by unions,KS, Kansas
2006,9.3,Represented by unions,KS, Kansas
2007,8.7,Represented by unions,KS, Kansas
2008,8.7,Represented by unions,KS, Kansas
2009,8.4,Represented by unions,KS, Kansas
2010,9.1,Represented by unions,KS, Kansas
2011,10.1,Represented by unions,KS, Kansas
2012,8.4,Represented by unions,KS, Kansas
2013,8.4,Represented by unions,KS, Kansas
2014,9,Represented by unions,KS, Kansas
2015,10.8,Represented by unions,KS, Kansas
2016,10.3,Represented by unions,KS, Kansas
