Years,Percent_Represented,Union,STUSPS,State
2000,13.8,Represented by unions,KY, Kentucky
2001,12.3,Represented by unions,KY, Kentucky
2002,11.3,Represented by unions,KY, Kentucky
2003,12.8,Represented by unions,KY, Kentucky
2004,11.6,Represented by unions,KY, Kentucky
2005,10.8,Represented by unions,KY, Kentucky
2006,11.2,Represented by unions,KY, Kentucky
2007,11.1,Represented by unions,KY, Kentucky
2008,9.6,Represented by unions,KY, Kentucky
2009,10.5,Represented by unions,KY, Kentucky
2010,10.1,Represented by unions,KY, Kentucky
2011,10.3,Represented by unions,KY, Kentucky
2012,11.4,Represented by unions,KY, Kentucky
2013,13,Represented by unions,KY, Kentucky
2014,12.8,Represented by unions,KY, Kentucky
2015,12.1,Represented by unions,KY, Kentucky
2016,13.4,Represented by unions,KY, Kentucky
