Years,Percent_Represented,Union,STUSPS,State
2000,9.3,Represented by unions,LA, Louisiana
2001,10.2,Represented by unions,LA, Louisiana
2002,10.3,Represented by unions,LA, Louisiana
2003,7.9,Represented by unions,LA, Louisiana
2004,9.3,Represented by unions,LA, Louisiana
2005,7.4,Represented by unions,LA, Louisiana
2006,7.2,Represented by unions,LA, Louisiana
2007,6.5,Represented by unions,LA, Louisiana
2008,5.6,Represented by unions,LA, Louisiana
2009,6.5,Represented by unions,LA, Louisiana
2010,5.5,Represented by unions,LA, Louisiana
2011,5.3,Represented by unions,LA, Louisiana
2012,7.5,Represented by unions,LA, Louisiana
2013,5.5,Represented by unions,LA, Louisiana
2014,6.4,Represented by unions,LA, Louisiana
2015,6.8,Represented by unions,LA, Louisiana
2016,4.9,Represented by unions,LA, Louisiana
