Years,Percent_Represented,Union,STUSPS,State
2000,15.9,Represented by unions,MA, Massachusetts
2001,16,Represented by unions,MA, Massachusetts
2002,15.5,Represented by unions,MA, Massachusetts
2003,15.5,Represented by unions,MA, Massachusetts
2004,14.7,Represented by unions,MA, Massachusetts
2005,14.9,Represented by unions,MA, Massachusetts
2006,15.3,Represented by unions,MA, Massachusetts
2007,14,Represented by unions,MA, Massachusetts
2008,16.9,Represented by unions,MA, Massachusetts
2009,18,Represented by unions,MA, Massachusetts
2010,15.6,Represented by unions,MA, Massachusetts
2011,15.4,Represented by unions,MA, Massachusetts
2012,16.2,Represented by unions,MA, Massachusetts
2013,14.6,Represented by unions,MA, Massachusetts
2014,14.7,Represented by unions,MA, Massachusetts
2015,14.2,Represented by unions,MA, Massachusetts
2016,12.9,Represented by unions,MA, Massachusetts
