Years,Percent_Represented,Union,STUSPS,State
2000,17,Represented by unions,MD, Maryland
2001,16.2,Represented by unions,MD, Maryland
2002,16.7,Represented by unions,MD, Maryland
2003,16.5,Represented by unions,MD, Maryland
2004,12.5,Represented by unions,MD, Maryland
2005,15,Represented by unions,MD, Maryland
2006,14.8,Represented by unions,MD, Maryland
2007,14.5,Represented by unions,MD, Maryland
2008,14.5,Represented by unions,MD, Maryland
2009,14.3,Represented by unions,MD, Maryland
2010,12.9,Represented by unions,MD, Maryland
2011,13.7,Represented by unions,MD, Maryland
2012,12.3,Represented by unions,MD, Maryland
2013,13.1,Represented by unions,MD, Maryland
2014,13.3,Represented by unions,MD, Maryland
2015,12.2,Represented by unions,MD, Maryland
2016,12.3,Represented by unions,MD, Maryland
