Years,Percent_Represented,Union,STUSPS,State
2000,16.5,Represented by unions,ME, Maine
2001,14.8,Represented by unions,ME, Maine
2002,15,Represented by unions,ME, Maine
2003,14.3,Represented by unions,ME, Maine
2004,13.2,Represented by unions,ME, Maine
2005,13.6,Represented by unions,ME, Maine
2006,13.5,Represented by unions,ME, Maine
2007,13.8,Represented by unions,ME, Maine
2008,14.7,Represented by unions,ME, Maine
2009,13.7,Represented by unions,ME, Maine
2010,13,Represented by unions,ME, Maine
2011,13.4,Represented by unions,ME, Maine
2012,13.9,Represented by unions,ME, Maine
2013,13.1,Represented by unions,ME, Maine
2014,12.5,Represented by unions,ME, Maine
2015,13.6,Represented by unions,ME, Maine
2016,13.5,Represented by unions,ME, Maine
