Years,Percent_Represented,Union,STUSPS,State
2000,21.4,Represented by unions,MI, Michigan
2001,22.1,Represented by unions,MI, Michigan
2002,21.8,Represented by unions,MI, Michigan
2003,23.1,Represented by unions,MI, Michigan
2004,22.4,Represented by unions,MI, Michigan
2005,21.4,Represented by unions,MI, Michigan
2006,20.4,Represented by unions,MI, Michigan
2007,20.6,Represented by unions,MI, Michigan
2008,19.6,Represented by unions,MI, Michigan
2009,19.9,Represented by unions,MI, Michigan
2010,17.3,Represented by unions,MI, Michigan
2011,18.3,Represented by unions,MI, Michigan
2012,17.1,Represented by unions,MI, Michigan
2013,16.9,Represented by unions,MI, Michigan
2014,15.7,Represented by unions,MI, Michigan
2015,16.5,Represented by unions,MI, Michigan
2016,15.5,Represented by unions,MI, Michigan
