Years,Percent_Represented,Union,STUSPS,State
2000,18.9,Represented by unions,MN, Minnesota
2001,18.4,Represented by unions,MN, Minnesota
2002,18.3,Represented by unions,MN, Minnesota
2003,18.1,Represented by unions,MN, Minnesota
2004,18.3,Represented by unions,MN, Minnesota
2005,16.4,Represented by unions,MN, Minnesota
2006,16.8,Represented by unions,MN, Minnesota
2007,17,Represented by unions,MN, Minnesota
2008,17,Represented by unions,MN, Minnesota
2009,15.7,Represented by unions,MN, Minnesota
2010,16.1,Represented by unions,MN, Minnesota
2011,15.8,Represented by unions,MN, Minnesota
2012,14.9,Represented by unions,MN, Minnesota
2013,15,Represented by unions,MN, Minnesota
2014,15,Represented by unions,MN, Minnesota
2015,15,Represented by unions,MN, Minnesota
2016,15.2,Represented by unions,MN, Minnesota
