Years,Percent_Represented,Union,STUSPS,State
2000,14.6,Represented by unions,MO, Missouri
2001,14.6,Represented by unions,MO, Missouri
2002,14.6,Represented by unions,MO, Missouri
2003,14.2,Represented by unions,MO, Missouri
2004,14,Represented by unions,MO, Missouri
2005,12.6,Represented by unions,MO, Missouri
2006,11.9,Represented by unions,MO, Missouri
2007,11.9,Represented by unions,MO, Missouri
2008,12.8,Represented by unions,MO, Missouri
2009,10.6,Represented by unions,MO, Missouri
2010,11.1,Represented by unions,MO, Missouri
2011,12.5,Represented by unions,MO, Missouri
2012,10.1,Represented by unions,MO, Missouri
2013,10.4,Represented by unions,MO, Missouri
2014,9.7,Represented by unions,MO, Missouri
2015,9.8,Represented by unions,MO, Missouri
2016,10.7,Represented by unions,MO, Missouri
