Years,Percent_Represented,Union,STUSPS,State
2000,9.6,Represented by unions,MS, Mississippi
2001,9.2,Represented by unions,MS, Mississippi
2002,8.2,Represented by unions,MS, Mississippi
2003,6.6,Represented by unions,MS, Mississippi
2004,6.3,Represented by unions,MS, Mississippi
2005,9.7,Represented by unions,MS, Mississippi
2006,7.3,Represented by unions,MS, Mississippi
2007,8.9,Represented by unions,MS, Mississippi
2008,7.3,Represented by unions,MS, Mississippi
2009,6.4,Represented by unions,MS, Mississippi
2010,5.6,Represented by unions,MS, Mississippi
2011,6.8,Represented by unions,MS, Mississippi
2012,5.7,Represented by unions,MS, Mississippi
2013,4.2,Represented by unions,MS, Mississippi
2014,4.5,Represented by unions,MS, Mississippi
2015,6.8,Represented by unions,MS, Mississippi
2016,8.1,Represented by unions,MS, Mississippi
