Years,Percent_Represented,Union,STUSPS,State
2000,15.8,Represented by unions,MT, Montana
2001,15.2,Represented by unions,MT, Montana
2002,15.5,Represented by unions,MT, Montana
2003,14.9,Represented by unions,MT, Montana
2004,12.6,Represented by unions,MT, Montana
2005,12.2,Represented by unions,MT, Montana
2006,13.1,Represented by unions,MT, Montana
2007,15.6,Represented by unions,MT, Montana
2008,15.7,Represented by unions,MT, Montana
2009,18.1,Represented by unions,MT, Montana
2010,14.4,Represented by unions,MT, Montana
2011,14.6,Represented by unions,MT, Montana
2012,16.5,Represented by unions,MT, Montana
2013,14.8,Represented by unions,MT, Montana
2014,13.8,Represented by unions,MT, Montana
2015,13.9,Represented by unions,MT, Montana
2016,13.9,Represented by unions,MT, Montana
