Years,Percent_Represented,Union,STUSPS,State
2000,4.8,Represented by unions,NC, North Carolina
2001,4.7,Represented by unions,NC, North Carolina
2002,4,Represented by unions,NC, North Carolina
2003,3.8,Represented by unions,NC, North Carolina
2004,3.6,Represented by unions,NC, North Carolina
2005,3.9,Represented by unions,NC, North Carolina
2006,4.1,Represented by unions,NC, North Carolina
2007,3.9,Represented by unions,NC, North Carolina
2008,5,Represented by unions,NC, North Carolina
2009,4.4,Represented by unions,NC, North Carolina
2010,4.9,Represented by unions,NC, North Carolina
2011,4.1,Represented by unions,NC, North Carolina
2012,4.3,Represented by unions,NC, North Carolina
2013,4.8,Represented by unions,NC, North Carolina
2014,3.2,Represented by unions,NC, North Carolina
2015,4.1,Represented by unions,NC, North Carolina
2016,4.1,Represented by unions,NC, North Carolina
