Years,Percent_Represented,Union,STUSPS,State
2000,7.8,Represented by unions,ND, North Dakota
2001,8.4,Represented by unions,ND, North Dakota
2002,9.8,Represented by unions,ND, North Dakota
2003,9,Represented by unions,ND, North Dakota
2004,9,Represented by unions,ND, North Dakota
2005,9.2,Represented by unions,ND, North Dakota
2006,8,Represented by unions,ND, North Dakota
2007,7.6,Represented by unions,ND, North Dakota
2008,8.2,Represented by unions,ND, North Dakota
2009,9.8,Represented by unions,ND, North Dakota
2010,9.1,Represented by unions,ND, North Dakota
2011,8.6,Represented by unions,ND, North Dakota
2012,8.2,Represented by unions,ND, North Dakota
2013,8.5,Represented by unions,ND, North Dakota
2014,6.9,Represented by unions,ND, North Dakota
2015,6.8,Represented by unions,ND, North Dakota
2016,7,Represented by unions,ND, North Dakota
