Years,Percent_Represented,Union,STUSPS,State
2000,11.7,Represented by unions,NE, Nebraska
2001,11.2,Represented by unions,NE, Nebraska
2002,11.2,Represented by unions,NE, Nebraska
2003,10.6,Represented by unions,NE, Nebraska
2004,10,Represented by unions,NE, Nebraska
2005,9.5,Represented by unions,NE, Nebraska
2006,9.5,Represented by unions,NE, Nebraska
2007,9.7,Represented by unions,NE, Nebraska
2008,10.7,Represented by unions,NE, Nebraska
2009,11.4,Represented by unions,NE, Nebraska
2010,11.8,Represented by unions,NE, Nebraska
2011,10,Represented by unions,NE, Nebraska
2012,8.1,Represented by unions,NE, Nebraska
2013,9,Represented by unions,NE, Nebraska
2014,9,Represented by unions,NE, Nebraska
2015,9,Represented by unions,NE, Nebraska
2016,8.5,Represented by unions,NE, Nebraska
