Years,Percent_Represented,Union,STUSPS,State
2000,11.5,Represented by unions,NH, New Hampshire
2001,11.4,Represented by unions,NH, New Hampshire
2002,11.2,Represented by unions,NH, New Hampshire
2003,11.3,Represented by unions,NH, New Hampshire
2004,11,Represented by unions,NH, New Hampshire
2005,11.5,Represented by unions,NH, New Hampshire
2006,11.3,Represented by unions,NH, New Hampshire
2007,11.2,Represented by unions,NH, New Hampshire
2008,12.4,Represented by unions,NH, New Hampshire
2009,12.3,Represented by unions,NH, New Hampshire
2010,11.7,Represented by unions,NH, New Hampshire
2011,12.5,Represented by unions,NH, New Hampshire
2012,12,Represented by unions,NH, New Hampshire
2013,10.7,Represented by unions,NH, New Hampshire
2014,11.5,Represented by unions,NH, New Hampshire
2015,11.4,Represented by unions,NH, New Hampshire
2016,11,Represented by unions,NH, New Hampshire
