Years,Percent_Represented,Union,STUSPS,State
2000,21.7,Represented by unions,NJ, New Jersey
2001,20.9,Represented by unions,NJ, New Jersey
2002,20.6,Represented by unions,NJ, New Jersey
2003,21.2,Represented by unions,NJ, New Jersey
2004,21.6,Represented by unions,NJ, New Jersey
2005,21.7,Represented by unions,NJ, New Jersey
2006,21.6,Represented by unions,NJ, New Jersey
2007,20.6,Represented by unions,NJ, New Jersey
2008,19,Represented by unions,NJ, New Jersey
2009,19.9,Represented by unions,NJ, New Jersey
2010,17.7,Represented by unions,NJ, New Jersey
2011,16.8,Represented by unions,NJ, New Jersey
2012,16.8,Represented by unions,NJ, New Jersey
2013,16.6,Represented by unions,NJ, New Jersey
2014,17.2,Represented by unions,NJ, New Jersey
2015,16.6,Represented by unions,NJ, New Jersey
2016,16.6,Represented by unions,NJ, New Jersey
