Years,Percent_Represented,Union,STUSPS,State
2000,10.2,Represented by unions,NM, New Mexico
2001,9.6,Represented by unions,NM, New Mexico
2002,8.5,Represented by unions,NM, New Mexico
2003,9.5,Represented by unions,NM, New Mexico
2004,8.9,Represented by unions,NM, New Mexico
2005,10.7,Represented by unions,NM, New Mexico
2006,11.5,Represented by unions,NM, New Mexico
2007,11.4,Represented by unions,NM, New Mexico
2008,11.6,Represented by unions,NM, New Mexico
2009,10.2,Represented by unions,NM, New Mexico
2010,9.7,Represented by unions,NM, New Mexico
2011,9,Represented by unions,NM, New Mexico
2012,8.7,Represented by unions,NM, New Mexico
2013,7.3,Represented by unions,NM, New Mexico
2014,7.4,Represented by unions,NM, New Mexico
2015,7.9,Represented by unions,NM, New Mexico
2016,8.2,Represented by unions,NM, New Mexico
