Years,Percent_Represented,Union,STUSPS,State
2000,18.8,Represented by unions,NV, Nevada
2001,17.9,Represented by unions,NV, Nevada
2002,16.7,Represented by unions,NV, Nevada
2003,15.8,Represented by unions,NV, Nevada
2004,14.3,Represented by unions,NV, Nevada
2005,15.1,Represented by unions,NV, Nevada
2006,17,Represented by unions,NV, Nevada
2007,17.7,Represented by unions,NV, Nevada
2008,18.2,Represented by unions,NV, Nevada
2009,17.2,Represented by unions,NV, Nevada
2010,16.8,Represented by unions,NV, Nevada
2011,16.6,Represented by unions,NV, Nevada
2012,16.4,Represented by unions,NV, Nevada
2013,16.1,Represented by unions,NV, Nevada
2014,16.4,Represented by unions,NV, Nevada
2015,16.5,Represented by unions,NV, Nevada
2016,15,Represented by unions,NV, Nevada
