Years,Percent_Represented,Union,STUSPS,State
2000,26,Represented by unions,NY, New York
2001,26.9,Represented by unions,NY, New York
2002,26.5,Represented by unions,NY, New York
2003,25.6,Represented by unions,NY, New York
2004,26.4,Represented by unions,NY, New York
2005,27.5,Represented by unions,NY, New York
2006,25.4,Represented by unions,NY, New York
2007,26.3,Represented by unions,NY, New York
2008,26.6,Represented by unions,NY, New York
2009,27.2,Represented by unions,NY, New York
2010,26,Represented by unions,NY, New York
2011,26.1,Represented by unions,NY, New York
2012,24.9,Represented by unions,NY, New York
2013,25.8,Represented by unions,NY, New York
2014,25.8,Represented by unions,NY, New York
2015,26,Represented by unions,NY, New York
2016,25.2,Represented by unions,NY, New York
