Years,Percent_Represented,Union,STUSPS,State
2000,19,Represented by unions,OH, Ohio
2001,19.1,Represented by unions,OH, Ohio
2002,17.9,Represented by unions,OH, Ohio
2003,18.1,Represented by unions,OH, Ohio
2004,16.4,Represented by unions,OH, Ohio
2005,17.2,Represented by unions,OH, Ohio
2006,15.5,Represented by unions,OH, Ohio
2007,15.4,Represented by unions,OH, Ohio
2008,15.5,Represented by unions,OH, Ohio
2009,15.4,Represented by unions,OH, Ohio
2010,14.7,Represented by unions,OH, Ohio
2011,14.7,Represented by unions,OH, Ohio
2012,13.9,Represented by unions,OH, Ohio
2013,14.1,Represented by unions,OH, Ohio
2014,13.9,Represented by unions,OH, Ohio
2015,13.6,Represented by unions,OH, Ohio
2016,14.1,Represented by unions,OH, Ohio
