Years,Percent_Represented,Union,STUSPS,State
2000,8.1,Represented by unions,OK, Oklahoma
2001,9.7,Represented by unions,OK, Oklahoma
2002,10.6,Represented by unions,OK, Oklahoma
2003,7.9,Represented by unions,OK, Oklahoma
2004,7.1,Represented by unions,OK, Oklahoma
2005,6.4,Represented by unions,OK, Oklahoma
2006,7.7,Represented by unions,OK, Oklahoma
2007,8.5,Represented by unions,OK, Oklahoma
2008,8.3,Represented by unions,OK, Oklahoma
2009,7.3,Represented by unions,OK, Oklahoma
2010,6.9,Represented by unions,OK, Oklahoma
2011,7.7,Represented by unions,OK, Oklahoma
2012,9.1,Represented by unions,OK, Oklahoma
2013,9.5,Represented by unions,OK, Oklahoma
2014,7.2,Represented by unions,OK, Oklahoma
2015,7.4,Represented by unions,OK, Oklahoma
2016,6.6,Represented by unions,OK, Oklahoma
