Years,Percent_Represented,Union,STUSPS,State
2000,17.1,Represented by unions,OR, Oregon
2001,16.8,Represented by unions,OR, Oregon
2002,16.4,Represented by unions,OR, Oregon
2003,16.4,Represented by unions,OR, Oregon
2004,16.5,Represented by unions,OR, Oregon
2005,15.7,Represented by unions,OR, Oregon
2006,14.7,Represented by unions,OR, Oregon
2007,15.4,Represented by unions,OR, Oregon
2008,17.4,Represented by unions,OR, Oregon
2009,18.5,Represented by unions,OR, Oregon
2010,17.7,Represented by unions,OR, Oregon
2011,18.1,Represented by unions,OR, Oregon
2012,16.4,Represented by unions,OR, Oregon
2013,14.8,Represented by unions,OR, Oregon
2014,17,Represented by unions,OR, Oregon
2015,16.2,Represented by unions,OR, Oregon
2016,15.8,Represented by unions,OR, Oregon
