Years,Percent_Represented,Union,STUSPS,State
2000,18,Represented by unions,PA, Pennsylvania
2001,18.4,Represented by unions,PA, Pennsylvania
2002,16.6,Represented by unions,PA, Pennsylvania
2003,16.1,Represented by unions,PA, Pennsylvania
2004,15.9,Represented by unions,PA, Pennsylvania
2005,15,Represented by unions,PA, Pennsylvania
2006,14.7,Represented by unions,PA, Pennsylvania
2007,16.6,Represented by unions,PA, Pennsylvania
2008,16.3,Represented by unions,PA, Pennsylvania
2009,16.2,Represented by unions,PA, Pennsylvania
2010,15.9,Represented by unions,PA, Pennsylvania
2011,15.8,Represented by unions,PA, Pennsylvania
2012,14.4,Represented by unions,PA, Pennsylvania
2013,13.7,Represented by unions,PA, Pennsylvania
2014,13.7,Represented by unions,PA, Pennsylvania
2015,14.4,Represented by unions,PA, Pennsylvania
2016,12.7,Represented by unions,PA, Pennsylvania
