Years,Percent_Represented,Union,STUSPS,State
2000,18.7,Represented by unions,RI, Rhode Island
2001,17.1,Represented by unions,RI, Rhode Island
2002,17.9,Represented by unions,RI, Rhode Island
2003,17.5,Represented by unions,RI, Rhode Island
2004,17,Represented by unions,RI, Rhode Island
2005,16.8,Represented by unions,RI, Rhode Island
2006,16,Represented by unions,RI, Rhode Island
2007,15.8,Represented by unions,RI, Rhode Island
2008,17.4,Represented by unions,RI, Rhode Island
2009,18.7,Represented by unions,RI, Rhode Island
2010,17.4,Represented by unions,RI, Rhode Island
2011,17.9,Represented by unions,RI, Rhode Island
2012,18.4,Represented by unions,RI, Rhode Island
2013,17.8,Represented by unions,RI, Rhode Island
2014,15.8,Represented by unions,RI, Rhode Island
2015,14.9,Represented by unions,RI, Rhode Island
2016,16.9,Represented by unions,RI, Rhode Island
