Years,Percent_Represented,Union,STUSPS,State
2000,5.2,Represented by unions,SC, South Carolina
2001,6.2,Represented by unions,SC, South Carolina
2002,6.1,Represented by unions,SC, South Carolina
2003,5.3,Represented by unions,SC, South Carolina
2004,4.2,Represented by unions,SC, South Carolina
2005,3.3,Represented by unions,SC, South Carolina
2006,4.2,Represented by unions,SC, South Carolina
2007,5.9,Represented by unions,SC, South Carolina
2008,5.8,Represented by unions,SC, South Carolina
2009,5.4,Represented by unions,SC, South Carolina
2010,6.2,Represented by unions,SC, South Carolina
2011,5,Represented by unions,SC, South Carolina
2012,4.6,Represented by unions,SC, South Carolina
2013,4.7,Represented by unions,SC, South Carolina
2014,3.2,Represented by unions,SC, South Carolina
2015,2.9,Represented by unions,SC, South Carolina
2016,2.6,Represented by unions,SC, South Carolina
