Years,Percent_Represented,Union,STUSPS,State
2000,6.9,Represented by unions,SD, South Dakota
2001,7.4,Represented by unions,SD, South Dakota
2002,6.9,Represented by unions,SD, South Dakota
2003,6.4,Represented by unions,SD, South Dakota
2004,7.7,Represented by unions,SD, South Dakota
2005,8.2,Represented by unions,SD, South Dakota
2006,7.2,Represented by unions,SD, South Dakota
2007,7.7,Represented by unions,SD, South Dakota
2008,6.4,Represented by unions,SD, South Dakota
2009,6.6,Represented by unions,SD, South Dakota
2010,6.6,Represented by unions,SD, South Dakota
2011,6.5,Represented by unions,SD, South Dakota
2012,6.7,Represented by unions,SD, South Dakota
2013,5.8,Represented by unions,SD, South Dakota
2014,6,Represented by unions,SD, South Dakota
2015,6.9,Represented by unions,SD, South Dakota
2016,7,Represented by unions,SD, South Dakota
