Years,Percent_Represented,Union,STUSPS,State
2000,10.3,Represented by unions,TN, Tennessee
2001,9.1,Represented by unions,TN, Tennessee
2002,10.5,Represented by unions,TN, Tennessee
2003,9.2,Represented by unions,TN, Tennessee
2004,7.7,Represented by unions,TN, Tennessee
2005,6.6,Represented by unions,TN, Tennessee
2006,6.8,Represented by unions,TN, Tennessee
2007,6.4,Represented by unions,TN, Tennessee
2008,6.6,Represented by unions,TN, Tennessee
2009,6.6,Represented by unions,TN, Tennessee
2010,5.8,Represented by unions,TN, Tennessee
2011,5.6,Represented by unions,TN, Tennessee
2012,5.9,Represented by unions,TN, Tennessee
2013,7.4,Represented by unions,TN, Tennessee
2014,5.6,Represented by unions,TN, Tennessee
2015,6.5,Represented by unions,TN, Tennessee
2016,6.4,Represented by unions,TN, Tennessee
