Years,Percent_Represented,Union,STUSPS,State
2000,7.8,Represented by unions,TX, Texas
2001,7.1,Represented by unions,TX, Texas
2002,6.5,Represented by unions,TX, Texas
2003,6.8,Represented by unions,TX, Texas
2004,6.3,Represented by unions,TX, Texas
2005,6.2,Represented by unions,TX, Texas
2006,5.9,Represented by unions,TX, Texas
2007,5.7,Represented by unions,TX, Texas
2008,5.6,Represented by unions,TX, Texas
2009,6.2,Represented by unions,TX, Texas
2010,6.7,Represented by unions,TX, Texas
2011,6.3,Represented by unions,TX, Texas
2012,6.8,Represented by unions,TX, Texas
2013,6,Represented by unions,TX, Texas
2014,6.2,Represented by unions,TX, Texas
2015,5.6,Represented by unions,TX, Texas
2016,5.3,Represented by unions,TX, Texas
