Years,Percent_Represented,Union,STUSPS,State
2000,9.2,Represented by unions,UT, Utah
2001,8.1,Represented by unions,UT, Utah
2002,7.6,Represented by unions,UT, Utah
2003,6.8,Represented by unions,UT, Utah
2004,6.7,Represented by unions,UT, Utah
2005,6.1,Represented by unions,UT, Utah
2006,6.1,Represented by unions,UT, Utah
2007,6.8,Represented by unions,UT, Utah
2008,7.1,Represented by unions,UT, Utah
2009,8,Represented by unions,UT, Utah
2010,8.4,Represented by unions,UT, Utah
2011,7.1,Represented by unions,UT, Utah
2012,6.6,Represented by unions,UT, Utah
2013,5.4,Represented by unions,UT, Utah
2014,4.6,Represented by unions,UT, Utah
2015,5.2,Represented by unions,UT, Utah
2016,6,Represented by unions,UT, Utah
