Years,Percent_Represented,Union,STUSPS,State
2000,7.4,Represented by unions,VA, Virginia
2001,6.9,Represented by unions,VA, Virginia
2002,7.8,Represented by unions,VA, Virginia
2003,7.7,Represented by unions,VA, Virginia
2004,6.6,Represented by unions,VA, Virginia
2005,6.2,Represented by unions,VA, Virginia
2006,5.2,Represented by unions,VA, Virginia
2007,4.8,Represented by unions,VA, Virginia
2008,5,Represented by unions,VA, Virginia
2009,5.4,Represented by unions,VA, Virginia
2010,5.7,Represented by unions,VA, Virginia
2011,5.6,Represented by unions,VA, Virginia
2012,5.5,Represented by unions,VA, Virginia
2013,6.4,Represented by unions,VA, Virginia
2014,6.2,Represented by unions,VA, Virginia
2015,6.9,Represented by unions,VA, Virginia
2016,6,Represented by unions,VA, Virginia
