Years,Percent_Represented,Union,STUSPS,State
2000,12.6,Represented by unions,VT, Vermont
2001,12.5,Represented by unions,VT, Vermont
2002,11.1,Represented by unions,VT, Vermont
2003,11.7,Represented by unions,VT, Vermont
2004,11.4,Represented by unions,VT, Vermont
2005,13,Represented by unions,VT, Vermont
2006,12.9,Represented by unions,VT, Vermont
2007,12.2,Represented by unions,VT, Vermont
2008,12.8,Represented by unions,VT, Vermont
2009,14.1,Represented by unions,VT, Vermont
2010,13.6,Represented by unions,VT, Vermont
2011,13.5,Represented by unions,VT, Vermont
2012,13.1,Represented by unions,VT, Vermont
2013,13.2,Represented by unions,VT, Vermont
2014,13.1,Represented by unions,VT, Vermont
2015,14.7,Represented by unions,VT, Vermont
2016,12.9,Represented by unions,VT, Vermont
