Years,Percent_Represented,Union,STUSPS,State
2000,19.8,Represented by unions,WA, Washington
2001,19.3,Represented by unions,WA, Washington
2002,20,Represented by unions,WA, Washington
2003,20.9,Represented by unions,WA, Washington
2004,20.3,Represented by unions,WA, Washington
2005,20.4,Represented by unions,WA, Washington
2006,21,Represented by unions,WA, Washington
2007,21.4,Represented by unions,WA, Washington
2008,21.5,Represented by unions,WA, Washington
2009,21.5,Represented by unions,WA, Washington
2010,21.3,Represented by unions,WA, Washington
2011,20.4,Represented by unions,WA, Washington
2012,19.5,Represented by unions,WA, Washington
2013,19.7,Represented by unions,WA, Washington
2014,18.4,Represented by unions,WA, Washington
2015,18,Represented by unions,WA, Washington
2016,18.7,Represented by unions,WA, Washington
