Years,Percent_Represented,Union,STUSPS,State
2000,15.6,Represented by unions,WV, West Virginia
2001,15.5,Represented by unions,WV, West Virginia
2002,14.1,Represented by unions,WV, West Virginia
2003,14.2,Represented by unions,WV, West Virginia
2004,15.7,Represented by unions,WV, West Virginia
2005,15.5,Represented by unions,WV, West Virginia
2006,15.5,Represented by unions,WV, West Virginia
2007,14.7,Represented by unions,WV, West Virginia
2008,15.3,Represented by unions,WV, West Virginia
2009,15.4,Represented by unions,WV, West Virginia
2010,16.5,Represented by unions,WV, West Virginia
2011,15.2,Represented by unions,WV, West Virginia
2012,13.1,Represented by unions,WV, West Virginia
2013,13.5,Represented by unions,WV, West Virginia
2014,11.6,Represented by unions,WV, West Virginia
2015,13.7,Represented by unions,WV, West Virginia
2016,13.2,Represented by unions,WV, West Virginia
