Years,Percent_Represented,Union,STUSPS,State
2000,10.6,Represented by unions,WY, Wyoming
2001,11,Represented by unions,WY, Wyoming
2002,9.9,Represented by unions,WY, Wyoming
2003,9.8,Represented by unions,WY, Wyoming
2004,9.8,Represented by unions,WY, Wyoming
2005,9.5,Represented by unions,WY, Wyoming
2006,10,Represented by unions,WY, Wyoming
2007,9.4,Represented by unions,WY, Wyoming
2008,8.9,Represented by unions,WY, Wyoming
2009,8.3,Represented by unions,WY, Wyoming
2010,8.4,Represented by unions,WY, Wyoming
2011,8.4,Represented by unions,WY, Wyoming
2012,8.1,Represented by unions,WY, Wyoming
2013,6.4,Represented by unions,WY, Wyoming
2014,7.5,Represented by unions,WY, Wyoming
2015,8.2,Represented by unions,WY, Wyoming
2016,7.3,Represented by unions,WY, Wyoming
