Years,Percent_Represented,Union,STUSPS,State
2000,14.9,Represented by unions,,
2001,14.7,Represented by unions,,
2002,14.5,Represented by unions,,
2003,14.3,Represented by unions,,
2004,13.8,Represented by unions,,
2005,13.7,Represented by unions,,
2006,13.1,Represented by unions,,
2007,13.3,Represented by unions,,
2008,13.7,Represented by unions,,
2009,13.6,Represented by unions,,
2010,13.1,Represented by unions,,
2011,13,Represented by unions,,
2012,12.5,Represented by unions,,
2013,12.4,Represented by unions,,
2014,12.3,Represented by unions,,
2015,12.3,Represented by unions,,
2016,12,Represented by unions,,
