,name,url,article_id,discount_numerical,original_price_numerical,price_change
0,Washed Linen Duvet Cover Set,http://www.hm.com/us/product/13472?article=13472-N,13472-N,59.99,129.0,-53.49612403100774
1,Candle in Glass Jar,http://www.hm.com/us/product/35079?article=35079-D,35079-D,6.99,17.99,-61.145080600333515
2,Glittery Cushion Cover,http://www.hm.com/us/product/72462?article=72462-A,72462-A,7.99,17.99,-55.5864369093941
3,Textured-weave Cushion Cover,http://www.hm.com/us/product/58926?article=58926-C,58926-C,6.99,12.99,-46.18937644341801
4,Stoneware Bowl,http://www.hm.com/us/product/74242?article=74242-A,74242-A,17.99,24.99,-28.011204481792717
5,Slub-weave Cushion Cover,http://www.hm.com/us/product/70965?article=70965-D,70965-D,3.99,9.99,-60.06006006006006
6,Braided Cushion Cover,http://www.hm.com/us/product/62818?article=62818-B,62818-B,7.99,17.99,-55.5864369093941
7,Jacquard-weave Cushion Cover,http://www.hm.com/us/product/69163?article=69163-B,69163-B,7.99,17.99,-55.5864369093941
8,Scented Candle in Glass Holder,http://www.hm.com/us/product/40910?article=40910-C,40910-C,9.99,17.99,-44.46914952751528
9,2-pack Curtain Panels,http://www.hm.com/us/product/69699?article=69699-B,69699-B,27.99,34.99,-20.00571591883396
10,Porcelain Cup,http://www.hm.com/us/product/76916?article=76916-A,76916-A,2.99,5.99,-50.08347245409015
11,Cotton Canvas Cushion Cover,http://www.hm.com/us/product/68473?article=68473-C,68473-C,2.99,5.99,-50.08347245409015
12,Color-block Cushion Cover,http://www.hm.com/us/product/74498?article=74498-A,74498-A,9.99,12.99,-23.094688221709006
13,King/Queen Duvet Cover Set,http://www.hm.com/us/product/41512?article=41512-E,41512-E,39.99,49.99,-20.004000800160032
14,Star-print Duvet Cover Set,http://www.hm.com/us/product/76727?article=76727-A,76727-A,39.99,49.99,-20.004000800160032
15,Faux Fur Seat Cushion,http://www.hm.com/us/product/76977?article=76977-A,76977-A,7.99,17.99,-55.5864369093941
16,Patterned Duvet Cover Set,http://www.hm.com/us/product/73369?article=73369-A,73369-A,19.99,29.99,-33.344448149383126
17,Patterned Mug,http://www.hm.com/us/product/59417?article=59417-D,59417-D,2.99,5.99,-50.08347245409015
18,Metal Storage Box,http://www.hm.com/us/product/76797?article=76797-A,76797-A,7.99,17.99,-55.5864369093941
