,full_rating,full_score,rank,title,url,series,series_no,avg_rating,rating_count,total_score,score_votes
0," 4.07 avg rating — 785,502 ratings","
score: 28,539,
              and
292 people voted
               
              
            ",1,The Handmaid's Tale,/book/show/38447.The_Handmaid_s_Tale,,,4.07," 785,502","28,539",292
1," 4.34 avg rating — 5,212,935 ratings","
score: 27,566,
              and
282 people voted
               
              
            ",2,"The Hunger Games (The Hunger Games, #1)",/book/show/2767052-the-hunger-games,The Hunger Games,1,4.34," 5,212,935","27,566",282
2," 3.76 avg rating — 922,308 ratings","
score: 20,049,
              and
205 people voted
               
              
            ",3,"Frankenstein, or The Modern Prometheus",/book/show/18490.Frankenstein_or_The_Modern_Prometheus,,,3.76," 922,308","20,049",205
3," 4.04 avg rating — 702,272 ratings","
score: 17,684,
              and
185 people voted
               
              
            ",4,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",/book/show/18131.A_Wrinkle_in_Time,A Wrinkle in Time Quintet,1,4.04," 702,272","17,684",185
4," 4.06 avg rating — 77,664 ratings","
score: 16,070,
              and
165 people voted
               
              
            ",5,The Left Hand of Darkness,/book/show/18423.The_Left_Hand_of_Darkness,,,4.06," 77,664","16,070",165
5," 4.23 avg rating — 2,345,974 ratings","
score: 12,935,
              and
134 people voted
               
              
            ",6,"Divergent (Divergent, #1)",/book/show/13335037-divergent,Divergent,1,4.23," 2,345,974","12,935",134
6," 4.30 avg rating — 2,049,239 ratings","
score: 12,261,
              and
128 people voted
               
              
            ",7,"Catching Fire (The Hunger Games, #2)",/book/show/6148028-catching-fire,The Hunger Games,2,4.30," 2,049,239","12,261",128
7," 4.12 avg rating — 1,379,452 ratings","
score: 11,238,
              and
117 people voted
               
              
            ",8,"The Giver (The Giver, #1)",/book/show/3636.The_Giver,The Giver,1,4.12," 1,379,452","11,238",117
8," 4.19 avg rating — 57,605 ratings","
score: 10,246,
              and
107 people voted
               
              
            ",9,The Dispossessed,/book/show/13651.The_Dispossessed,,,4.19," 57,605","10,246",107
9," 4.20 avg rating — 53,473 ratings","
score: 9,907,
              and
104 people voted
               
              
            ",10,Kindred,/book/show/60931.Kindred,,,4.20," 53,473","9,907",104
10,"really liked it 4.00 avg rating — 176,024 ratings","
score: 9,628,
              and
102 people voted
               
              
            ",11,"Oryx and Crake (MaddAddam, #1)",/book/show/46756.Oryx_and_Crake,MaddAddam,1,4.00," 176,024","9,628",102
11," 4.03 avg rating — 1,932,930 ratings","
score: 9,423,
              and
100 people voted
               
              
            ",12,"Mockingjay (The Hunger Games, #3)",/book/show/7260188-mockingjay,The Hunger Games,3,4.03," 1,932,930","9,423",100
12," 3.95 avg rating — 1,355,662 ratings","
score: 8,250,
              and
88 people voted
               
              
            ",13,The Time Traveler's Wife,/book/show/18619684-the-time-traveler-s-wife,,,3.95," 1,355,662","8,250",88
13," 4.03 avg rating — 38,534 ratings","
score: 8,175,
              and
88 people voted
               
              
            ",14,"Doomsday Book (Oxford Time Travel, #1)",/book/show/24983.Doomsday_Book,Oxford Time Travel,1,4.03," 38,534","8,175",88
14," 4.10 avg rating — 36,316 ratings","
score: 7,523,
              and
81 people voted
               
              
            ",15,The Lathe of Heaven,/book/show/59924.The_Lathe_of_Heaven,,,4.10," 36,316","7,523",81
15," 4.17 avg rating — 46,116 ratings","
score: 6,571,
              and
69 people voted
               
              
            ",16,"The Sparrow (The Sparrow, #1)",/book/show/334176.The_Sparrow,The Sparrow,1,4.17," 46,116","6,571",69
16," 4.12 avg rating — 22,554 ratings","
score: 6,418,
              and
68 people voted
               
              
            ",17,"Shards of Honour  (Vorkosigan Saga, #1)",/book/show/61903.Shards_of_Honour,Vorkosigan Saga,1,4.12," 22,554","6,418",68
17," 3.97 avg rating — 53,063 ratings","
score: 6,257,
              and
70 people voted
               
              
            ",18,"Ancillary Justice (Imperial Radch, #1)",/book/show/17333324-ancillary-justice,Imperial Radch,1,3.97," 53,063","6,257",70
18," 4.10 avg rating — 106,206 ratings","
score: 6,238,
              and
68 people voted
               
              
            ",19,"Dragonflight (Dragonriders of Pern, #1)",/book/show/61975.Dragonflight,Dragonriders of Pern,1,4.10," 106,206","6,238",68
19," 4.14 avg rating — 31,668 ratings","
score: 5,999,
              and
64 people voted
               
              
            ",20,"Parable of the Sower (Earthseed, #1)",/book/show/52397.Parable_of_the_Sower,Earthseed,1,4.14," 31,668","5,999",64
